2020-02-17,13:25:22,0,Rebo4AI,1581942323276,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:25:25,0,Rebo4AI,1581942325298,"Behzad, do you want to talk about IDSAI?",TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:26:53,0,Rebo4AI,1581942413901,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:26:56,0,Rebo4AI,1581942417918,"Rebo4AI, do you want to talk about IDSAI?",TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:28:10,0,Rebo4AI,1581942491081,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:29:47,0,Rebo4AI,1581942587844,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:31:19,0,Rebo4AI,1581942679861,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:32:12,0,Rebo4AI,1581942734067,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:35:23,0,Rebo4AI,1581942924675,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:38:07,0,Rebo4AI,1581943087588,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:39:35,0,Rebo4AI,1581943177515,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:44:04,0,Rebo4AI,1581943444847,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:44:07,0,Rebo4AI,1581943448881,"Rebo4AI, do you want to talk about general AI?",TUTOR
2020-02-17,13:44:15,0,Behzad,1581943455299,ok,AFFIRMATIVE
2020-02-17,13:44:15,0,Rebo4AI,1581943456897,Let's get started.,TUTOR
2020-02-17,13:44:15,0,Rebo4AI,1581943458905,We are here to have a conversation about ups and downs of AI and how it affects our life.,TUTOR
2020-02-17,13:44:15,0,Rebo4AI,1581943458910,"Can you tell me how you use an AI-based systems in your daily life? Please name some concrete examples which you use such as Google's search engine, Youtube, GoogleMap, or ridesharing apps.",TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:45:12,0,Rebo4AI,1581943512591,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:45:14,0,Rebo4AI,1581943516619,"Rebo4AI, do you want to talk about idsai?",TUTOR
2020-02-17,13:45:19,0,Behzad,1581943519939,ok,AFFIRMATIVE
2020-02-17,13:45:19,0,Rebo4AI,1581943520627, Let's get started.,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:45:57,0,Rebo4AI,1581943558084,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:46:00,0,Rebo4AI,1581943562108,"Rebo4AI, do you want to talk about idsai?",TUTOR
2020-02-17,13:46:07,0,Behzad,1581943567356,ok,AFFIRMATIVE
2020-02-17,13:46:07,0,Rebo4AI,1581943568119, Let's get started.,TUTOR
2020-02-17,13:46:07,0,Rebo4AI,1581943570125,You have learned in the Introduction to Data Science and Artificial Intelligence different definitions of intelligence; I have not been able to follow!,TUTOR
2020-02-17,13:46:07,0,Rebo4AI,1581943570127,"But I'm curious: Is a ""fish"" now intelligent or not?",TUTOR
2020-02-17,13:46:07,0,Rebo4AI,1581943570128,judgement_on_relevance,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:48:29,0,Rebo4AI,1581943709988,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:49:07,0,Rebo4AI,1581943747771,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:49:10,0,Rebo4AI,1581943751800,Let's get started.,TUTOR
2020-02-17,13:49:19,0,Behzad,1581943759862,asdasdasdas,
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:50:14,0,Rebo4AI,1581943815189,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:50:31,0,Behzad,1581943831189,ok,AFFIRMATIVE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:52:25,0,Rebo4AI,1581943946041,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",INTRODUCE
2020-02-17,13:53:07,0,Behzad,1581943997459,bnb,
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:58:01,0,Behzad,1581944281169,ok,AFFIRMATIVE
2020-02-17,13:58:01,0,Rebo4AI,1581944282956,Let's get started.,TUTOR
2020-02-17,13:58:01,0,Rebo4AI,1581944284960,You have learned in the Introduction to Data Science and Artificial Intelligence different definitions of intelligence; I have not been able to follow!,TUTOR
2020-02-17,13:58:01,0,Rebo4AI,1581944284961,"But I'm curious: Is a ""fish"" now intelligent or not?",TUTOR
2020-02-17,13:58:01,0,Rebo4AI,1581944284962,judgement_on_relevance,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,13:58:43,0,Behzad,1581944323312,ok,AFFIRMATIVE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,14:03:15,0,Behzad,1581944595692,adsad,
2020-02-17,14:03:27,0,Behzad,1581944607795,TRUE,
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,14:07:27,0,Rebo4AI,1581944847935,Are you ready?,TUTOR
2020-02-17,14:07:31,0,Behzad,1581944852011,ff,TRUE
2020-02-17,14:07:32,0,Rebo4AI,1581944853950,TRUE,TUTOR
2020-02-17,14:07:32,0,Rebo4AI,1581944855952,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",TUTOR
2020-02-17,14:07:32,0,Rebo4AI,1581944855954,You have learned in the Introduction to Data Science and Artificial Intelligence different definitions of intelligence; I have not been able to follow!,TUTOR
2020-02-17,14:07:32,0,Rebo4AI,1581944855962,"But I'm curious: Is a ""fish"" now intelligent or not?",TUTOR
2020-02-17,14:07:32,0,Rebo4AI,1581944855963,judgement_on_relevance,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,14:09:17,0,Rebo4AI,1581944957807,How are you?,TUTOR
2020-02-17,14:09:23,0,Behzad,1581944963404,no,TRUE+NEGATIVE
2020-02-17,14:09:23,0,Rebo4AI,1581944963827,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",TUTOR
2020-02-17,14:09:23,0,Rebo4AI,1581944963834,You have learned in the Introduction to Data Science and Artificial Intelligence different definitions of intelligence; I have not been able to follow!,TUTOR
2020-02-17,14:09:23,0,Rebo4AI,1581944963837,"But I'm curious: Is a ""fish"" now intelligent or not?",TUTOR
2020-02-17,14:09:23,0,Rebo4AI,1581944963840,judgement_on_relevance,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,14:10:47,0,Rebo4AI,1581945048763,How are you?,TUTOR
2020-02-17,14:11:05,0,Behzad,1581945065303,s,TRUE
2020-02-17,14:11:05,0,Rebo4AI,1581945066813,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",TUTOR
2020-02-17,14:11:05,0,Rebo4AI,1581945066817,You have learned in the Introduction to Data Science and Artificial Intelligence different definitions of intelligence; I have not been able to follow!,TUTOR
2020-02-17,14:11:05,0,Rebo4AI,1581945066820,"But I'm curious: Is a ""fish"" now intelligent or not?",TUTOR
2020-02-17,14:11:05,0,Rebo4AI,1581945066822,judgement_on_relevance,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,14:12:28,0,Rebo4AI,1581945148399,How are you?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,14:13:50,0,Rebo4AI,1581945232455,"Hi, I'm Rebo4AI; I'm a prototype conversational agent.",TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-02-17,14:14:28,0,Rebo4AI,1581945270047,"Hsssi, I'm Rebo4AI; I'm a prototype conversational agent.",TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
