text,class
exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world,1
video game violence is not related to serious aggressive behavior in real life,1
some violent video games may actually have a prosocial effect in some contexts,1
exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,1
they increase the violent tendencies among youth,1
have shown no conclusive link between video game usage and violent activity,1
"violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior",1
"video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder",1
violent video games may increase mild forms of aggressive behavior in children and young adults,1
"exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior",1
violence in video games is not causally linked with aggressive tendencies,1
no long-term relationship between playing violent video game and youth violence or bullying,1
"aggressive children tend to select more violent video games, not the inverse",1
no evidence violent games are psychologically harmful to minors,1
adolescents that don't play video games at all are most at-risk for violent behavior,1
video game play is part of an adolescent boy's normal social setting,1
Other biological theories of aggression and violence have specifically excluded video game and other media effects,1
Reinforcement of sexist stereotypes has also been claimed as an effect of violent video games,1
a correlation between children playing violent video games and suffering psychological effects,1
violent video games can increase children's aggression,1
media influences are too weak and distant to have much influence,1
"violent video games promote violent behavior, attitudes and beliefs by desensitizing an individual to aggression",1
Excessive exposure to violent video games and other violent media has been linked to aggressive behaviour,1
neurological link between playing violent video games and aggressive behaviour in children and teenagers,1
there was no direct link between violent video games and their influence on children,1
Video games also develop the individual's intelligence,1
violent games help students deal with stress and aggression,1
violent games affect students positively and not negatively,1
"many skills can be learned from the gaming experience, it builds practical and intellectual skills",1
"media cannot cause violence because humans have the ability to recognize what is wrong, and what is right",1
video games have many healthy and positive aspects,1
they can be a safe outlet for aggression and frustration,1
violent games cause youth violence,1
a high degree of relationship between violent games and youth violence,1
video game violence leads to youth violence,1
video game content was a form of freedom of expression,1
"there is social utility in expressive and imaginative forms of entertainment, even if they contain violence",1
there are tangible benefits to violence in action games,1
children may imitate aggressive behaviors witnessed in media,1
"children don't automatically imitate aggression, but rather consider the context of aggression",1
societal media consumption and violent crime rates are not well associated,1
Various games have been accused of causing addiction and even violent behavior,1
violent video games are influencing their children's view about violence,1
video games were protected speech under the First Amendment,1
there was a connection between video games and violence,1
content-based regulations are presumptively invalid,1
no evidence linked video games to youth violence,1
"there was no ""compelling"" link between violent video games and its effects on children",1
content-based restrictions on games are unconstitutional,1
"parents, not government bureaucrats, have the right to decide what is appropriate for their children",1
states should have the “right to regulate the sale of video games [that are violent] in order to protect minors,1
"parents should make the decision” about what video games they purchase for their children, and what constitutes “too violent",1
states do not have the right to decide that some video games are too violent for [minors,1
not all depictions of violence are even bad to witness,1
no connection between exposure to media violence and real life violence,1
heavy exposure to media violence can lead to more aggressive behavior,1
exposure alone does not cause a child to commit crimes,1
there is no convincing evidence that prove that media violence cause violent crime or any type of real life violence,1
violent video games—especially first-person shooter games—encouraged real-life acts of violence in teenagers,1
video games allow children to act out crimes,1
violence in video games is not causally linked with aggressive tendencies,1
correlations between violent gameplay and some common childhood problems,1
most children who play violent games do not have problems,1
"many creative, social and emotional benefits from video game play—even games with violent content",1
exposure to graphic violence leads to desensitization to committing acts of violence in person,1
violence in games hardens children to unethical acts,1
violent video games[REF] is related to increased aggressiveness in children,1
numerous researchers have proposed potential positive effects of video games,1
computer games cause violence,1
a correlation between violent content conveyed through media (including videogames) and violent or aggressive behavior,1
Some serious psychological problems have been attributed to desensitization to violence in video games,1
media violence may increase aggression,1
evidence for harmful effects were inconclusive,1
"The policy is controversial both within and outside China because of the manner in which the policy has been implemented, and because of concerns about negative social consequences",1
possible cause behind China's gender imbalance,1
"it had proved ""remarkably effective",1
great success in helping to implement China's current economic growth,1
The reduction in the fertility rate and thus population growth has reduced the severity of problems that come with overpopulation,1
the focus of China on population control helps provide a better health service for women,1
The individual savings rate has increased since the one-child policy was introduced,1
"less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time",1
T]he policy itself is probably only partially responsible for the reduction in the total fertility rate,1
"China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy",1
The one-child policy is challenged in principle and in practice for violating a human right to determine the size of one's own family,1
leaves the older generations with increased chances of dependency on retirement funds or charity in order to receive support,1
"If, for any reason, the single child is unable to care for their older adult relatives, the oldest generations would face a lack of resources and necessities",1
Some parents may over-indulge their only child,1
social problems and personality disorders in young people,1
The one-child limit is too extreme. It violates nature’s law,1
The social pressure exerted by the one-child policy has affected the rate at which parents abandon undesirable children,1
China's family planning programs contribute to infanticide,1
"As a result of the policy, China successfully achieved its goal of a more stable and much-reduced fertility rate",1
rapid population growth as an obstacle to development,1
population control was necessary for economic growth and improved living standards,1
coercive measures used to achieve the desired results of the one-child policy,1
Rapid fertility reduction associated with the one-child policy has potentially negative results,1
population control can involve measures that improve people's lives,1
"a large increase in population would bring, ""certain poverty on the citizenry",1
excessive growth may reduce output per worker,1
a larger population would mean more production,1
"overpopulation has been blamed for a variety of issues, including increasing poverty",1
reduction of the population is a key to economic growth,1
economists doubt that a correlation between population reduction and economic growth exists,1
"poverty and famine are caused by bad government and bad economic policies, not by overpopulation",1
"higher population density leads to more specialization and technological innovation, which in turn leads to a higher standard of living",1
human beings are the ultimate resource,1
there is no correlation between population density and poverty and starvation,1
number of problems associated with overpopulation,1
"The success of the policy has been questioned, and reduction in fertility has also been attributed to the modernization of China",1
The policy is controversial both within and outside of China,1
only children are spoiled,1
only children have aversive social skills,1
the lack of siblings has been blamed for a number of social ills,1
The one child policy has also been speculated to be the underlying cause of forced abortions,1
it is more difficult for only children to cooperate in a conventional family environment,1
only children are higher in achievement motivation,1
children with many siblings receive fewer resources,1
Only children are also more likely to make outside friends,1
a continuation of the rapid population growth that had been occurring would hinder their development as a nation,1
the policy has created abuse for women in China,1
implementation of the policy has involved forced abortions and forced sterilization,1
a decrease in the human population would prevent a significant amount of man-made human suffering,1
a single child would be left with having to provide support for his or her two parents and four grandparents,1
this four-two-one reconfiguration of the familial structure has distinct ramifications for Chinese society,1
it contributes to forced abortions,1
This is thought to have been a significant contribution to the gender imbalance in mainland China,1
the one-child policy is not effective enough to justify its costs,1
the dramatic decrease in Chinese fertility started before the program began in 1979 for unrelated factors,1
Coercive sterilization to enforce the one child policy has occurred in China,1
Parents have a basic human right to determine freely and responsibly the number and the spacing of their children,1
Parents have a basic right to decide freely and responsibly on the number and spacing of their children,1
Parents have the exclusive right to determine freely and responsibly the number and spacing of their children,1
governments have a responsibility to meet individuals' reproductive needs,1
